clave_entidad,entidad_federativa,clave_municipio,municipio,poblacion_total,poblacion_de_15_anos_o_mas_analfabeta,poblacion_de_6_a_14_anos_que_no_asiste_a_la_escuela,poblacion_de_15_anos_y_mas_con_educacion_basica_incompleta,poblacion_sin_derechohabiencia_a_servicios_de_salud,viviendas_con_piso_de_tierra,viviendas_que_no_disponen_de_excusado_o_sanitario,viviendas_que_no_disponen_de_agua_entubada_de_la_red_publica,viviendas_que_no_disponen_de_drenaje,viviendas_que_no_disponen_de_energia_electrica,viviendas_que_no_disponen_de_lavadora,viviendas_que_no_disponen_de_refrigerador,indice_de_rezago_social,grado_de_rezago_social
6,Colima,6003,Comala,21661,3.223474,5.191945,35.657046,19.37122,3.8859690000000002,1.974837,0.891862,1.369645,1.178532,35.578914000000005,13.330148000000001,-0.719713,Muy bajo
6,Colima,6004,Coquimatlán,20837,5.902513,6.257901,38.544047,19.359793,4.910063,0.923675,1.604278,0.9074700000000001,1.40982,33.446767,8.718198,-0.646125,Bajo
6,Colima,6005,Cuauhtémoc,31267,3.7810949999999997,5.874529,34.423715,15.204529,1.7082080000000002,2.009024,1.547056,1.24624,0.40825100000000003,23.001719,9.346798,-0.8840680000000001,Muy bajo
6,Colima,6006,Ixtlahuacán,5623,7.123162,3.990326,43.336397,5.24631,7.457428,1.8790369999999998,2.290076,1.8790369999999998,1.761597,35.466823,11.332942,-0.421713,Bajo
6,Colima,6007,Manzanillo,191031,2.432706,5.937663,25.327787,15.99531,1.7690810000000001,0.623199,0.522683,0.345105,0.333378,23.172284,5.2519599999999995,-1.087651,Muy bajo
6,Colima,6008,Minatitlán,10231,5.208476,5.857988,34.053315000000005,8.757697,4.173853,2.8630560000000003,2.2076580000000003,3.2080029999999997,1.724733,29.320455,12.073129,-0.623937,Bajo
6,Colima,6009,Tecomán,116305,7.35535,10.690839,41.455282000000004,17.739564,6.104342,0.5651609999999999,1.2275530000000001,0.395005,0.632008,35.678041,11.497676,-0.48853,Bajo
6,Colima,6010,Villa de Álvarez,149762,1.317089,3.2111169999999998,16.513873,18.090035999999998,0.9421649999999999,0.446611,0.214128,0.136634,0.250836,19.40819,3.670772,-1.32786,Muy bajo
7,Chiapas,7001,Acacoyagua,17994,10.755765,10.251451,51.733715000000004,33.839057000000004,3.85575,4.150601,6.849626,4.64958,2.132003,56.67951899999999,27.103652,0.082204,Bajo
7,Chiapas,7002,Acala,21187,15.876344,12.025478,50.639247999999995,34.327653999999995,5.955243,1.997411,3.088589,2.44128,1.109673,43.480672999999996,20.861846,-0.03197,Bajo
7,Chiapas,7003,Acapetahua,26899,13.721654999999998,9.464587,50.499497999999996,40.113015000000004,8.299248,3.8659449999999995,16.242248,4.129832,1.174297,39.899723,17.706820999999998,0.039883999999999996,Bajo
7,Chiapas,7004,Altamirano,36160,22.985561999999998,14.222798000000001,62.925515000000004,23.697456,6.680899,4.9981160000000004,13.562728,22.943614,3.189753,84.252166,64.91272099999999,1.42085,Alto
7,Chiapas,7005,Amatán,24512,17.081101999999998,10.401802,52.206070000000004,29.605907000000002,25.442007999999998,1.803395,11.050212,8.079915,4.862093,82.920792,58.239038,1.256774,Alto
7,Chiapas,7006,Amatenango de la Frontera,31735,15.355858,9.395669999999999,58.517888,22.142745,6.922975,1.942132,3.131193,3.7653589999999997,1.281543,53.573788,30.202140000000004,0.22950900000000002,Medio
7,Chiapas,7007,Amatenango del Valle,11283,26.487524,14.570360999999998,74.993145,26.570946999999997,19.890582000000002,11.957796,23.563892000000003,20.125049,2.149277,96.67839000000001,90.42594799999999,2.3211459999999997,Muy alto
7,Chiapas,7008,Angel Albino Corzo,31947,17.603946,11.300310000000001,56.011276,27.041663,15.025620000000002,3.4621239999999998,2.381942,3.323639,2.0634259999999998,57.762083,33.236394,0.517613,Medio
7,Chiapas,7009,Arriaga,41135,8.373401,6.4583639999999995,41.863735999999996,40.243102,3.007946,2.456624,13.01281,2.416086,1.224258,37.952003000000005,14.699205,-0.42984700000000003,Bajo
7,Chiapas,7010,Bejucal de Ocampo,7365,10.809116,8.009858,60.025089,20.692464,6.704981,0.83014,40.038314,4.789272,0.766284,62.643678,42.911877000000004,0.684595,Medio
7,Chiapas,7011,Bella Vista,20157,10.08152,7.182706,57.333034,12.695342,12.173528,2.124834,16.356795,5.688358,2.235502,64.541833,45.219124,0.610934,Medio
7,Chiapas,7012,Berriozábal,64632,9.997288000000001,12.605108999999999,46.167405,42.712588000000004,9.662463,3.128091,17.111771,3.635015,1.199308,42.247774,24.295251999999998,0.045575,Bajo
7,Chiapas,7013,Bochil,37263,13.953164000000001,8.100669,48.620017,28.108310999999997,14.686979000000001,8.807427,7.664842,7.081647,0.690312,76.815044,50.666508,0.682808,Medio
7,Chiapas,7014,El Bosque,24273,22.549086,13.988149,64.71898,15.033164000000001,18.906064,1.149425,0.713436,4.77606,2.160127,88.862465,61.097899,1.301126,Alto
7,Chiapas,7015,Cacahoatán,50112,9.888933999999999,6.8969190000000005,39.564413,43.061541999999996,6.943185000000001,1.492537,2.284159,2.523295,1.030758,59.783953000000004,28.778758000000003,-0.222215,Bajo
7,Chiapas,7016,Catazajá,17619,12.904463,9.117221,47.776415,39.366593,8.923335,5.613741,3.288647,6.032677,2.15752,39.400921999999994,17.762882,-0.066618,Bajo
7,Chiapas,7017,Cintalapa,88106,10.037474000000001,7.224456,44.017884,46.498536,8.044338,3.799099,7.331432,4.498206,1.7799650000000002,47.364548,25.126483,-0.137743,Bajo
7,Chiapas,7018,Coapilla,9900,14.838610999999998,8.304326,52.929478,19.676768,11.374794999999999,3.600655,1.391162,3.8052370000000004,0.777414,61.947627000000004,42.962357,0.38109699999999996,Medio
7,Chiapas,7019,Comitán de Domínguez,166178,9.101705,8.579377000000001,44.305894,41.871367,6.0075769999999995,0.841151,11.740032000000001,4.268898,0.563774,40.181309999999996,21.924048000000003,-0.280019,Bajo
7,Chiapas,7020,La Concordia,49920,17.469035,11.317063000000001,55.947651,22.113381,11.159325,5.673817,7.859833,5.395448,2.60357,51.940396,29.867365000000003,0.526642,Medio
7,Chiapas,7021,Copainalá,22192,10.692188999999999,6.348021,44.328435,32.133201,10.206782,3.4904879999999996,3.4904879999999996,4.168734,1.985112,62.08436700000001,31.794871999999998,0.080833,Bajo
7,Chiapas,7022,Chalchihuitán,21915,29.162133,21.794195000000002,81.14170899999999,24.814054000000002,40.041579999999996,17.858628,49.376298999999996,72.785863,13.139292999999999,99.62578,92.26611199999999,4.260517,Muy alto
7,Chiapas,7023,Chamula,101967,32.578814,17.459661999999998,86.126694,19.178754,20.145094,2.446253,17.672299,38.737503000000004,1.331505,95.961249,92.05963,2.564559,Muy alto
7,Chiapas,7024,Chanal,13678,22.365439000000002,8.889467999999999,59.27762,13.847054,27.127173,3.385178,34.675206,50.045746,3.019213,98.76486700000001,92.040256,2.4473,Muy alto
7,Chiapas,7025,Chapultenango,7472,14.748559,5.786249,40.806996999999996,18.683084,20.743754,1.7431729999999999,7.786171,5.810575,4.067403,77.280651,46.775131,0.734063,Medio
7,Chiapas,7026,Chenalhó,47371,27.600887,24.620035,80.130223,20.324671,34.017688,4.527269,19.1514,36.302378999999995,3.221731,97.831122,90.48220699999999,2.877015,Muy alto
7,Chiapas,7027,Chiapa de Corzo,112075,9.098641,8.009387,37.157472,42.339504999999996,5.8199629999999996,1.665259,7.0596179999999995,1.574058,0.699206,42.023307,17.274109,-0.452716,Bajo
7,Chiapas,7028,Chiapilla,6156,21.866667,6.274131,58.088889,23.684210999999998,3.0153849999999998,1.476923,1.476923,1.538462,1.107692,40.123077,25.230769,0.050131,Bajo
7,Chiapas,7029,Chicoasén,5402,11.481976,5.09684,46.408545000000004,38.781933,8.220108999999999,2.98913,6.657609,2.105978,0.543478,52.038043,21.263587,-0.17264200000000002,Bajo
7,Chiapas,7030,Chicomuselo,36785,16.177126,7.806691000000001,60.580156,21.989942000000003,14.917379,3.589744,9.230769,4.809117,2.0170939999999997,52.934473,30.643875,0.5276569999999999,Medio
7,Chiapas,7031,Chilón,137262,26.607032,14.097605,60.391353,24.428465,24.033336,11.194533999999999,13.548314000000001,18.154516,6.306780000000001,95.5815,77.03281,2.16834,Muy alto
7,Chiapas,7032,Escuintla,30896,11.969553,8.35851,48.09705,31.864966,7.97967,3.379924,8.996188,4.612451999999999,2.439644,56.810673,27.179160999999997,0.151513,Medio
7,Chiapas,7033,Francisco León,7245,19.95335,6.367771,55.703986,27.177364,20.919387,2.798135,2.198534,4.13058,1.665556,74.417055,44.770153,0.7861090000000001,Medio
7,Chiapas,7034,Frontera Comalapa,80897,10.96458,9.183409,54.217562,40.544149,8.166004,1.809145,7.897614,2.2763419999999996,1.232604,43.215706,19.72167,-0.088252,Bajo
